date, pm25, pm10, o3, no2, so2, co
2021/1/2, 31, 9, 9, 1, , 4
2021/1/3, 34, 10, 17, 1, , 3
2021/1/4, 30, 13, 16, 2, , 4
2020/7/2, 41, 9, 5, 4, , 8
2020/7/3, 24, 10, 7, 3, , 8
2020/7/4, 30, 6, 6, 3, , 8
2020/7/5, 25, 13, 10, 3, , 6
2020/7/6, 45, 15, 9, 3, , 6
2020/7/7, 39, 13, 7, 3, , 9
2020/7/8, 23, 13, 6, 4, , 3
2020/7/9, 28, 6, 8, 2, , 2
2020/7/10, 16, 13, 9, 2, , 2
2020/7/11, 28, 14, 6, 6, , 7
2020/7/12, 36, 13, 7, 4, , 2
2020/7/13, 33, 5, 9, 3, , 2
2020/7/14, 15, 4, 10, 1, , 1
2020/7/15, 16, 8, 9, , , 1
2020/7/16, 21, 8, 7, , , 3
2020/7/17, 25, 10, 8, 3, , 3
2020/7/18, 24, 6, 7, 3, , 5
2020/7/19, 19, 6, 6, 3, , 2
2020/7/20, 25, 3, 7, 1, , 
2020/7/21, 13, 7, 4, 7, , 12
2020/7/22, 29, 13, 4, 6, , 9
2020/7/23, 33, 13, 6, 6, , 5
2020/7/24, 38, 14, 5, 6, , 5
2020/7/25, 33, 9, 2, 6, , 6
2020/7/26, 30, 6, 6, 2, , 3
2020/7/27, 15, 6, 5, 3, , 5
2020/7/28, 20, 9, 3, 3, , 6
2020/7/29, 25, 10, 3, 4, , 6
2020/7/30, 32, 11, 2, 4, , 7
2020/7/31, 26, 4, 5, 3, , 6
2020/8/1, 20, 10, 7, 4, , 5
2020/8/2, 26, 6, 6, 2, , 3
2020/8/3, 18, 8, 5, 2, , 4
2020/8/4, 26, 10, 4, 2, , 5
2020/8/5, 20, 6, 3, 2, , 4
2020/8/6, 18, 11, 3, 2, , 2
2020/8/7, 28, 5, 3, 2, , 1
2020/8/8, 18, 5, 4, 2, , 1
2020/8/9, 16, 3, 3, 1, , 1
2020/8/10, 14, 7, 2, 3, , 2
2020/8/11, 23, 8, 2, 4, , 5
2020/8/12, 21, 13, 2, 4, , 3
2020/8/13, 31, 10, 3, 2, , 1
2020/8/14, 19, 8, 2, 3, , 2
2020/8/15, 20, 6, 4, 3, , 3
2020/8/16, 17, 8, 6, 3, , 3
2020/8/17, 21, 24, 2, 6, , 4
2020/8/18, 54, 31, 4, 7, , 5
2020/8/19, 69, 15, 3, 6, , 4
2020/8/20, 36, 10, 2, 5, , 3
2020/8/21, 28, 11, 6, 5, , 2
2020/8/22, 27, 12, 4, 6, , 3
2020/8/23, 31, 12, 4, 5, , 3
2020/8/24, 33, 14, 4, 6, , 18
2020/8/25, 38, 19, 5, 7, , 
2020/8/26, 44, 22, 3, 7, , 8
2020/8/27, 44, 8, 5, 3, , 7
2020/8/28, 20, 10, 5, 2, , 6
2020/8/29, 32, 29, 9, 6, , 7
2020/8/30, 57, 16, 6, 4, , 4
2020/8/31, 38, 22, 5, 8, , 10
2020/9/1, 49, 13, 6, 6, , 9
2020/9/2, 37, 18, 1, 9, , 10
2020/9/3, 54, 16, 5, 6, , 9
2020/9/4, 37, 7, 5, 3, , 7
2020/9/5, 18, 5, 7, 3, , 7
2020/9/6, 16, 7, 5, 3, , 7
2020/9/7, 22, 18, 3, 8, , 10
2020/9/8, 39, 14, 5, 6, , 12
2020/9/9, 33, 18, 1, 9, , 11
2020/9/10, 44, 16, 4, 8, , 9
2020/9/11, 41, 23, 6, 6, , 8
2020/9/12, 56, 13, 6, 5, , 9
2020/9/13, 40, 4, 5, 3, , 
2020/9/14, 19, 7, 4, 4, , 9
2020/9/15, 28, 13, 3, 7, , 9
2020/9/16, 29, 21, 4, 8, , 10
2020/9/17, 57, 37, 4, 11, , 15
2020/9/18, 79, 30, 5, 9, , 14
2020/9/19, 67, 24, 4, 8, , 10
2020/9/20, 56, 7, 5, 3, , 5
2020/9/21, 15, 6, 8, 4, , 6
2020/9/22, 18, 9, 6, 6, , 10
2020/9/23, 30, 11, 4, 5, , 11
2020/9/24, 25, 8, 5, 2, , 9
2020/9/25, 19, 7, 5, 4, , 12
2020/9/26, 23, 23, 3, 8, , 14
2020/9/27, 49, 14, 5, 4, , 11
2020/9/28, 27, 8, 7, 6, , 13
2020/9/29, 21, 8, 7, 4, , 11
2020/9/30, 24, 10, 11, 4, , 9
2020/10/1, 21, 8, 11, 4, , 9
2020/4/2, 55, 25, 10, 3, , 6
2020/4/3, 33, 33, 12, 3, , 5
2020/4/4, 46, 24, 6, 1, , 4
2020/4/5, 15, 23, 10, 1, , 4
2020/4/6, 22, 24, 7, 2, , 5
2020/4/7, 26, , 9, 1, , 5
2020/4/8, 20, 10, 9, 2, , 6
2020/4/9, 26, 11, 12, 2, , 5
2020/4/10, 26, 10, 10, 2, , 4
2020/4/11, 29, 7, 9, 2, , 5
2020/4/12, 27, 11, 15, 1, , 4
2020/4/13, 43, 20, 14, 3, , 7
2020/4/14, 60, 20, 13, 3, , 6
2020/4/15, 48, 25, 16, 4, , 6
2020/4/16, 69, 30, 17, 5, , 7
2020/4/17, 86, 28, 18, 3, , 7
2020/4/18, 85, 29, 19, 3, , 7
2020/4/19, 85, 22, 12, 3, , 6
2020/4/20, 68, 16, 8, 3, , 7
2020/4/21, 47, 16, 3, 5, , 8
2020/4/22, 44, 20, 7, 6, , 8
2020/4/23, 48, 5, 6, 2, , 5
2020/4/24, 18, 14, 12, 4, , 1
2020/4/25, 40, 18, 15, 3, , 2
2020/4/26, 56, 16, 13, 2, , 1
2020/4/27, 50, 15, 11, 2, , 5
2020/4/28, 56, 18, 9, 2, , 2
2020/4/29, 54, 21, 7, 11, , 3
2020/4/30, 56, 19, 9, 5, , 3
2020/5/1, 44, 7, 7, 2, , 2
2020/5/2, 23, 8, 7, 3, , 3
2020/5/3, 33, 9, 9, 3, , 2
2020/5/4, 32, 8, 6, 2, , 5
2020/5/5, 31, 7, 9, 1, , 2
2020/5/6, 24, 9, 9, 3, , 2
2020/5/7, 32, 8, 5, 3, , 2
2020/5/8, 28, 7, 10, 3, , 7
2020/5/9, 21, 5, 7, 1, , 6
2020/5/10, 16, 5, 6, 1, , 4
2020/5/11, 11, 9, 7, 4, , 6
2020/5/12, 31, 21, 8, 7, 2, 7
2020/5/13, 55, 15, 11, 7, , 11
2020/5/14, 46, 17, 11, 7, , 9
2020/5/15, 41, 13, 8, 4, , 7
2020/5/16, 33, 5, 6, 1, , 5
2020/5/17, 11, 4, 5, , , 3
2020/5/18, 11, 4, 8, 1, , 4
2020/5/19, 16, 11, 5, 4, , 8
2020/5/20, 35, 18, 6, 3, , 9
2020/5/21, 39, 12, 6, 2, , 7
2020/5/22, 25, 8, 6, 2, , 7
2020/5/23, 21, 7, 7, 2, , 7
2020/5/24, 15, 5, 7, 1, , 6
2020/5/25, 16, 3, 7, 1, , 5
2020/5/26, 13, 5, 5, 2, , 9
2020/5/27, 19, 4, 14, 2, , 8
2020/5/28, 21, 19, 3, 5, , 9
2020/5/29, 50, 16, 6, 6, , 9
2020/5/30, 42, 17, 5, 6, , 9
2020/5/31, 46, 9, 6, 3, , 8
2020/6/1, 32, 8, 4, 3, , 9
2020/6/2, 28, 13, 5, 5, , 10
2020/6/3, 35, 27, 3, 8, , 12
2020/6/4, 55, 10, 8, 3, , 9
2020/6/5, 23, 7, 6, 1, , 8
2020/6/6, 17, 6, 6, 3, , 8
2020/6/7, 20, 6, 8, 2, , 7
2020/6/8, 15, 8, 5, 4, , 8
2020/6/9, 27, 10, 7, 5, , 13
2020/6/10, 31, 15, 5, 5, , 10
2020/6/11, 43, 17, 4, 6, , 11
2020/6/12, 43, 19, 3, 6, , 12
2020/6/13, 57, 11, 5, 3, , 11
2020/6/14, 28, 4, 5, 1, , 7
2020/6/15, 14, 3, 7, 1, , 6
2020/6/16, 13, 8, 5, 4, , 11
2020/6/17, 25, 18, 1, 6, , 14
2020/6/18, 47, 23, 2, 7, , 14
2020/6/19, 52, 12, 3, 3, , 12
2020/6/20, 24, 7, 3, 2, , 9
2020/6/21, 22, 4, 8, , , 6
2020/6/22, 10, 6, 7, 1, , 7
2020/6/23, 18, 13, 7, 2, , 6
2020/6/24, 45, 64, 9, 3, , 2
2020/6/25, 88, 43, 7, 2, , 3
2020/6/26, 55, 11, 9, 3, , 3
2020/6/27, 24, 11, 8, 2, , 2
2020/6/28, 31, 10, 7, 2, , 1
2020/6/29, 26, 4, 8, 1, , 1
2020/6/30, 12, 20, 9, 4, , 4
2020/7/1, 51, 17, 6, 5, , 5
2020/1/2, 55, 30, 3, 4, , 5
2020/1/3, 45, 36, 3, 6, , 7
2020/1/4, 63, 47, 4, 8, 1, 7
2020/1/5, 75, 29, 3, 5, , 4
2020/1/6, 51, 34, 5, 5, , 3
2020/1/7, 51, 34, 4, 7, , 6
2020/1/8, 58, 44, 3, 9, , 11
2020/1/9, 43, 38, 7, 6, , 13
2020/1/10, 33, 35, 9, 4, , 8
2020/1/11, 38, 33, 3, 4, , 7
2020/1/12, 33, 22, 4, 1, , 3
2020/1/13, 22, 29, 5, 2, , 5
2020/1/14, 24, 38, 4, 5, , 8
2020/1/15, 31, 37, 2, 4, , 17
2020/1/16, 27, 31, 1, 4, , 8
2020/1/17, 23, 9, 1, 2, , 6
2020/1/18, 20, 7, 1, 2, , 6
2020/1/19, 18, 7, 2, 1, , 6
2020/1/20, 16, 18, , 6, , 6
2020/1/21, 39, 44, , 8, , 21
2020/1/22, 81, 29, 3, 7, , 11
2020/1/23, 56, 31, 6, 8, , 9
2020/1/24, 63, 34, 5, 8, , 8
2020/1/25, 61, 34, 10, 7, , 9
2020/1/26, 69, 20, 13, 5, , 5
2020/1/27, 48, 32, 10, 8, , 8
2020/1/28, 73, 31, 11, 8, , 11
2020/1/29, 59, 37, 12, 9, , 14
2020/1/30, 72, 27, 12, 8, , 10
2020/1/31, 56, 20, 10, 4, , 10
2020/2/1, 46, 21, 8, 4, , 13
2020/2/2, 40, 24, 16, 5, , 9
2020/2/3, 58, 24, 10, 5, , 11
2020/2/4, 51, 30, 13, 10, , 16
2020/2/5, 54, 28, 14, 10, , 16
2020/2/6, 48, 26, 14, 9, 1, 12
2020/2/7, 48, 43, 23, 12, 1, 15
2020/2/8, 86, 50, 17, 11, 1, 15
2020/2/9, 97, 28, 25, , , 
2020/2/10, 73, 20, 17, , , 
2020/2/11, 40, 22, 15, , , 
2020/2/12, 46, 29, 14, , , 
2020/2/13, 57, 32, 15, , , 
2020/2/14, 65, 22, 12, , , 
2020/2/15, 48, 15, 11, , , 
2020/2/16, 35, 13, 13, , , 
2020/2/17, 27, 14, 13, , , 
2020/2/18, 34, 16, 14, , , 
2020/2/19, 38, 18, 10, , , 
2020/2/20, 38, 23, 11, , , 
2020/2/21, 50, 32, 15, , , 
2020/2/22, 71, 39, 11, , , 
2020/2/23, 81, 23, 6, 8, , 8
2020/2/24, 62, 21, 7, 3, , 12
2020/2/25, 53, 30, 14, , , 12
2020/2/26, 70, 33, 9, , , 8
2020/2/27, 95, 33, 11, , , 8
2020/2/28, 78, 33, 14, , , 10
2020/2/29, 74, 27, 7, 1, , 12
2020/3/1, 61, , , , , 
2020/3/3, 59, 36, 13, , , 12
2020/3/4, 79, 34, 3, 1, 1, 20
2020/3/5, 67, , , , , 
2020/3/7, 118, 46, 21, , , 7
2020/3/8, 107, 36, 15, , , 7
2020/3/9, 89, 27, 10, 11, , 8
2020/3/10, 68, 29, 8, 10, , 11
2020/3/11, 71, 32, 12, 9, , 9
2020/3/12, 77, 28, 11, 9, , 9
2020/3/13, 72, 38, 9, 11, , 8
2020/3/14, 87, 21, 10, 11, , 9
2020/3/15, 55, 21, 12, 6, , 3
2020/3/16, 64, 33, 10, 11, , 8
2020/3/17, 84, 39, 16, 10, , 9
2020/3/18, 97, 53, 20, 10, , 11
2020/3/19, 129, 49, 17, 9, , 9
2020/3/20, 125, 42, 12, 5, , 5
2020/3/21, 115, 26, 13, 3, , 4
2020/3/22, 81, 26, 14, 3, , 3
2020/3/23, 69, 30, 14, 4, , 4
2020/3/24, 96, 9, 10, 9, , 7
2020/3/25, 103, , 12, 7, , 7
2020/3/26, 77, , 18, 5, , 6
2020/3/27, 87, , 16, 4, , 7
2020/3/28, 96, , 15, 3, , 6
2020/3/29, 108, , 13, 4, , 6
2020/3/30, 127, , , , , 
2019/10/2, 68, 32, 9, 8, , 8
2019/10/3, 53, 19, 5, 6, , 6
2019/10/4, 27, 22, 8, 7, , 9
2019/10/5, 28, 31, 3, 8, , 12
2019/10/6, 48, , , 5, , 11
2019/10/8, 34, 32, 7, 9, , 10
